coordinate,mRID,businessType,psrType,resourceName,startTime,endTime,position,quantity,,export from https://transparency.entsoe.eu/generation/r2/actualGenerationPerGenerationUnit/show
"48.456168, 11.800668",11WD2ZOL50001274,A01,B05,DEZOLLI____1_____,2024-11-13T00:00Z,2024-11-14T00:00Z,1,456,,
"53.12874, 8.68637",11WD2BRE4000115K,A01,B04,KW Mittelsbueren Block 4,2024-11-13T00:00Z,2024-11-14T00:00Z,1,57,,
"48.2505, 12.5849",11WD2ITOT000254Q,A01,B11,TÃ¶ging,2024-11-13T00:00Z,2024-11-14T00:00Z,1,85,,
"50.5176, 12.8804",11WD8MARK1H---FC,A01,B10,PSW Markersbach PSS F,2024-11-13T00:00Z,2024-11-14T00:00Z,1,0,,
"54.142799, 12.132865",11WD8ROST1C----K,A01,B05,Kraftwerk Rostock,2024-11-13T00:00Z,2024-11-14T00:00Z,1,458,,
"50.50722,11.00500",11WD8GOLD1H---AL,A01,B10,PSW Goldisthal PSS A,2024-11-13T00:00Z,2024-11-14T00:00Z,1,0,,
"50.50722,11.00500",11WD8GOLD1H---CH,A01,B10,PSW Goldisthal PSS C,2024-11-13T00:00Z,2024-11-14T00:00Z,1,0,,
"52.51172,13.42092",11WD8MITT5GGUD-8,A01,B04,HKW Mitte GUD,2024-11-13T00:00Z,2024-11-14T00:00Z,1,403,,
"50.5176, 12.8804",11WD8MARK1H---EE,A01,B10,PSW Markersbach PSS E,2024-11-13T00:00Z,2024-11-14T00:00Z,1,0,,
"50.5176, 12.8804",11WD8MARK1H---DG,A01,B10,PSW Markersbach PSS D,2024-11-13T00:00Z,2024-11-14T00:00Z,1,0,,
"50.50722,11.00500",11WD8GOLD1H---BJ,A01,B10,PSW Goldisthal PSS B,2024-11-13T00:00Z,2024-11-14T00:00Z,1,0,,
"53.566837, 9.725696",11WD8WED15C---1M,A01,B05,HKW Wedel Block 1,2024-11-13T00:00Z,2024-11-14T00:00Z,1,117,,
"53.5269, 10.0636",11WD8TIEF5C----9,A01,B05,HKW Tiefstack Block 2,2024-11-13T00:00Z,2024-11-14T00:00Z,1,104,,
"50.5176, 12.8804",11WD8MARK1H---AM,A01,B10,PSW Markersbach PSS A,2024-11-13T00:00Z,2024-11-14T00:00Z,1,0,,
"51.3512, 12.3784",11WD8LEIP5X----6,A01,B04,HKW Nord GuD Nord,2024-11-13T00:00Z,2024-11-14T00:00Z,1,108,,
"53.566837, 9.725696",11WD8WED15C---2K,A01,B05,HKW Wedel Block 2,2024-11-13T00:00Z,2024-11-14T00:00Z,1,99,,
"52.534601, 13.244531",11WD8REUW1C---DD,A01,B05,HKW Reuter West Block D,2024-11-13T00:00Z,2024-11-14T00:00Z,1,194,,
"50.5176, 12.8804",11WD8MARK1H---CI,A01,B10,PSW Markersbach PSS C,2024-11-13T00:00Z,2024-11-14T00:00Z,1,0,,
"50.5176, 12.8804",11WD8MARK1H---BK,A01,B10,PSW Markersbach PSS B,2024-11-13T00:00Z,2024-11-14T00:00Z,1,0,,
"52.534601, 13.244531",11WD8REUW1C---EB,A01,B05,HKW Reuter West Block E,2024-11-13T00:00Z,2024-11-14T00:00Z,1,0,,
"50.50722,11.00500",11WD8GOLD1H---DF,A01,B10,PSW Goldisthal PSS D,2024-11-13T00:00Z,2024-11-14T00:00Z,1,0,,
"51.835666, 14.457808",11WD8JAEN1L---D7,A01,B02,KW JÃ¤nschwalde Block D,2024-11-13T00:00Z,2024-11-14T00:00Z,1,312,,
"51.419696, 14.575308",11WD8BOXB1L---N8,A01,B02,KW Boxberg Block N,2024-11-13T00:00Z,2024-11-14T00:00Z,1,498,,
"51.835666, 14.457808",11WD8JAEN1L---C9,A01,B02,KW JÃ¤nschwalde Block C,2024-11-13T00:00Z,2024-11-14T00:00Z,1,305,,
"51.835666, 14.457808",11WD8JAEN1L---BB,A01,B02,KW JÃ¤nschwalde Block B,2024-11-13T00:00Z,2024-11-14T00:00Z,1,317,,
"51.835666, 14.457808",11WD8JAEN1L---AD,A01,B02,KW JÃ¤nschwalde Block A,2024-11-13T00:00Z,2024-11-14T00:00Z,1,311,,
"53.0959, 14.2364",11WD8SCHW5X---27,A01,B06,IKS Schwedt SE2 Block 2,2024-11-13T00:00Z,2024-11-14T00:00Z,1,82,,
"51.04212, 13.7086",11WD8DRES5X----D,A01,B04,GTHKW Nossener Bruecke,2024-11-13T00:00Z,2024-11-14T00:00Z,1,77,,
"53.526046, 10.064258",11WD8TIEF5G-GUDI,A01,B04,HKW Tiefstack GuD,2024-11-13T00:00Z,2024-11-14T00:00Z,1,0,,
"52.51862, 13.37619",11W0-0000-0104-6,A01,B04,GuD Marzahn,2024-11-13T00:00Z,2024-11-14T00:00Z,1,200,,
"51.419696, 14.575308",11WD8BOXB1L---P4,A01,B02,KW Boxberg Block P,2024-11-13T00:00Z,2024-11-14T00:00Z,1,467,,
"51.419696, 14.575308",11WD8BOXB1L---Q2,A01,B02,KW Boxberg Block Q,2024-11-13T00:00Z,2024-11-14T00:00Z,1,819,,
"51.537855, 14.353492",11WD8SWPU1L---AK,A01,B02,KW Schwarze Pumpe Block A,2024-11-13T00:00Z,2024-11-14T00:00Z,1,709,,
"51.419696, 14.575308",11WD8BOXB1L---R0,A01,B02,KW Boxberg Block R,2024-11-13T00:00Z,2024-11-14T00:00Z,1,537,,
"51.537855, 14.353492",11WD8SWPU1L---BI,A01,B02,KW Schwarze Pumpe Block B,2024-11-13T00:00Z,2024-11-14T00:00Z,1,720,,
"51.398462, 11.950385",11WD8SCHK1L---A2,A01,B02,Schkopau A,2024-11-13T00:00Z,2024-11-14T00:00Z,1,423,,
